Team,SourceofIOC,NameofAnalyst,Month,DateofInput,ThreatActor,SuspectedAttribution,Type,IntentofThreatActor,IOCDetails,DerivedIOC,DerivedType,ViolationIP,VT_Detection,AbuseIpDB,TPI,Country,NameofOrganistion,UsageType,FirstSeen,Violation_Date,LastSeen,DetectBetweenFirstLastSeen,CII,Sectors,ConnectionType,ViolationPort,Status,OriginalPulseName,Tag,Aliases,IOCType,Remarks
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,45.199.63.220,NA,Main,45.199.63.220,0,0,NA,Hong Kong,DXTL HK,DCH,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,107.187.66.103,NA,Main,107.187.66.103,0,0,NA,United States of America,EGIHosting,DCH,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,145.249.106.19,NA,Main,145.249.106.19,1,0,NA,Netherlands,IP Broker Limited,ISP,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,175.29.32.160,NA,Main,175.29.32.160,0,0,NA,Hong Kong,Access Telecom (BD) Ltd,ISP,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,185.142.236.213,NA,Main,185.142.236.213,1,0,NA,Netherlands,BlackHOST Ltd.,DCH,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,185.181.104.82,NA,Main,185.181.104.82,1,0,NA,Germany,Internetworx Management GmbH,DCH,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,198.251.83.27,NA,Main,198.251.83.27,2,0,NA,United States of America,Frantech Solutions,DCH,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,208.91.197.46,NA,Main,208.91.197.46,0,0,NA,United States of America,Confluence Networks Inc.,DCH,NA,09-02-2021,NA,NA,HR_GOV_SDC_CDG_H3C_FW01,Government,Outbound:Denied,53,Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,209.99.64.18,NA,Main,209.99.64.18,1,0,NA,United States of America,YHC Corporation,DCH,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
TA,USCERT,MM,February,2021-02-18,AppleJeus,North Korea,Malware,RAT,45.33.2.79,NA,Main,45.33.2.79,1,1,NA,United States of America,Linode LLC,DCH,NA,NA,NA,NA,NA,NA,NA,NA,Not Valid,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware,"FALLCHILL, Hidden Cobra",NA,IP,https://us-cert.cisa.gov/ncas/alerts/aa21-048a
